round,numSession,groupInRound,CV,bid1,signal1,bid2,signal2,bid3,signal3,bid4,signal4,OtherHBid,StratWin,subject,treatment,male,age,major,CRT1,CRT2,CRT3,N_s,advice,alpha,belief_other,beta,bid_pref,choice_pref,dRedChosen,dTie,dWin,displayLotto,endowment,epsilon,explain1,explain2,explain3,explain4,groupRandomN,guess,lotteryid,pLotto,partFee,paymentRound,playerInGroup,q1abid65,q1bbid70,q1cbid75,q1dbid80,q1ebid85,randomPrice,sesIDNum,ticket,vLotto,winBid,lowbound,upbound,rrange,fix,euv,smeuv,rec_round,lottoRound,rec_lottoRound,expV,NEcomp,nbid,BEbid,NEbid,BEBF,NEBF,BF,thBF,loss,fixHigh,DeuvH,correctAns,maxbid,lottery,Highprob,Highval,rec_lround,fixsmeuv,Lpayoff,bidofix,lnbidofix,CVsmeuv,CVeuv,CVepsilon,CVfixHigh,CVHighprob,CVHighval,CVHHprobval,lnbid,lnNEbid,lnBEbid,lnnbid,lnfix,lnsignal,lneuv,HHprobval,epsHigh,bidofix100,NEbidofix100,BEbidofix100,CVlnfix,CVlnsignal,nmexpV,NEmnbid,nmexpV2,CVexpV,CVnmexpV,CVnmexpV2,CVepsHigh,CVNEmnbid,countWin,L1loss,L1Lpayoff,L1payoff,payoff,payoff1groupid_in_subsession,payoff1playerid_in_group,payoff1playerphase_one_payoff,payoff1playerphase_two_payoff,payoff1playertotal_payoff_dol,payoff1subsessionround_number,payoffFinal,payoffLotteryType,payoffPartFee,payoffPhaseTwoReal,payoffPlayLotto,payoffPlayerPayoff,payoffRandomChipId,payoffRandomCutoff,payoffRedChips,payoffRound,payoffTaskNum,payoffTotalChips,taskChoice,taskCutoff,taskDieSide,maxV,domnBid,domnBid2,overbid,dmaxVsig,bidofixoeuv,smeuvoeuv,epsilonoeuv,testCV,testCP,Utype,CEnorm,averse,consistency,CEnorm1,CEnorm2,CEnorm3,CEnorm2c,CEnorm3c,RP,CRP,AP,aver1,aver2,aver3,bidhatCV,bidhatCP,sumNGroup,Grrange,GdomnBid,upticket,StratProfit
13,2,3,0,0,14,20,18,0,19,22,20,20,21,25,cp,0,18,Neural Science,10,1,8,4,12,10,"Signal does nothing, look at the range it exhibits, and the area of the range between 0-100    high range of valuation is GOOD  low range of high values is also GOOD  low range/high range of low p's =BAD :(",70,1,1,0,0,1,2,12,4,"I have figured a more spaced out pattern of guessing, parabolically proportional the values estimated in p, would be best in this game of chance.    It just feels more even.","Little, as the risk is still very high with the complementary p approxiamating 70%  while the chance, given by the signal, still offers A CHANCE",I have played better with bets against the tickets in lottery A...ie my personal experience,See answer above for reference.,49,0,2,17,10,,3,58,54,54,57,65,,13,0,40,22,14,66,1,40,40,-20,.07692308,3,.33333334,16,.079659313,8,7.04,6.4318638,14.96,15.568136,14,1.5681362,1,0,0,0,60,0,0,0,.33333334,0,-22,.55000001,-.59783697,0,0,0,0,0,0,,3.0910425,1.8612643,1.9516082,2.0794415,3.6888795,2.9957323,3.6888795,0,0,55,16.079659,17.6,0,0,-8,-1.5681362,64,0,0,0,0,0,25,0,0,0,-22,1,13,8,90,26.75,1,17,2,27,0,0,0,6,90,4,68,2,20,,,,40,0,0,-18,20,.01375,-.5,.1,17.067858,4.888144,,,,,1.5233333,-.10333335,-.1366666,,,-.52333331,-.10333335,-.1366666,-1,1,1,17.067858,4.888144,4,1,1,.176,6.04
13,6,4,0,34,51,25,55,30,55,15,56,34,35,101,cp,1,18,Business,5,5,47,4,0,10,No idea,70,-1,-1,1,0,0,2,12,4,Valuation,"High risk, low reward",Smaller chance of losing money,See above,30,0,2,54,10,,3,15,15,15,20,20,,10,40,40,34,14,66,1,40,40,16,.07692308,3,.33333334,16,1.2132096e-09,22.4,21.440001,20.799999,-6.4400005,-5.7999992,-7.3999996,1.6000004,0,0,0,3,60,0,0,0,.33333334,0,0,.375,-.98082924,0,0,0,0,0,0,,2.7080503,3.0349529,3.0652583,3.109061,3.6888795,4.0253515,3.6888795,0,0,37.5,52,53.600002,0,0,6.3999996,-1.6000004,40.959995,0,0,0,0,0,1,0,0,0,0,1,10,0,88,25.666666,1,16,3,26,0,0,0,2,88,11,65,3,20,,,,40,0,0,-25,-16,.0093750004,.40000001,.1,41.760139,20.97439,,,,,.68333334,.33333331,.48333335,,,.31666666,.33333331,.48333335,1,1,1,41.760139,20.97439,4,1,1,.53600001,20.440001
14,2,2,0,30,61,15,63,0,63,22,65,30,31,21,cp,0,21,psychology,50,5,47,4,0,10,I have no idea because some people bid 100 for which the prize was 60. They were bidding more than the price thereby ensuring they were losing money. Either that or I didn't understand the experiment at all,70,-1,-1,1,0,0,2,12,4,It's all or nothing. I'd risk losing 40 but only if the probability is high enough. I wouldn't bet any more than that because less than 20 is not enough to take a risk on,"If it's less than 50%, it's not worth it",75% probability that there's some monetary gain is the better option in my opinion.,Same reason as above. It is safer,89,0,2,62,10,,2,0,40,40,40,40,,9,0,40,30,14,66,1,40,40,25,.071428575,4,.25,16,1.3477542e-11,26,25.040001,24.4,-3.0400009,-2.3999996,-4,1.6000004,0,0,0,2,60,0,0,0,.25,0,0,.55000001,-.59783697,0,0,0,0,0,0,,3.0910425,3.1945832,3.2204745,3.2580965,3.6888795,4.1743875,3.6888795,0,0,55,61,62.600002,0,0,10,-1.6000004,100,0,0,0,0,0,3,0,0,0,0,1,9,0,0,22,1,12,1,22,0,1,0,9,3,15,29,4,30,,,,40,0,0,-18,-25,.01375,.625,.1,46.863396,25.319033,,,,,.86500001,.078333288,.029999971,,,.13499999,.078333288,.029999971,1,1,1,46.863396,25.319033,4,1,1,.62600005,24.040001
15,2,1,0,0,61,32,65,30,66,25,66,32,33,27,cp,1,22,Computer Science,5,80,30,4,0,10,"In my group, somehow the bid was most of the times higher than the lottery outcome. They might have won the lottery but they lost points. I think the range of bidding was not explained clearly",70,-1,-1,0,0,0,2,12,4,"It doesn't make sense to place any bid when the probability values are low. Till and until the probability is really high, I have put 0's because the maximum that you can earn (if you are lucky) then 8 credits which corresponds to nearly $1 and 0.75 of $1 is 75 cents. So basically maximum you can earn is 75cents but if you bid high like 44 and lose, here you are losing a lot. I'd rather have 0 earnings than negative earnings",The same answer as the previous one. Here the False Positives come with a big penalty,"I would just like to earn something. In Lottery A you get 75 and in B minimum is 60, so I might be losing out on 0.75*(75-60) but atleast B is less risky",Same as previous,3,0,2,63,10,,4,0,0,0,0,68,,15,40,40,32,14,66,1,40,40,26,.06666667,5,.2,16,8.1745426e-12,26.4,25.440001,24.799999,-.44000053,.20000076,-1.3999996,1.6000004,0,0,0,1,60,0,0,0,.2,0,0,.625,-.47000363,0,0,0,0,0,0,,3.2188759,3.2108436,3.2363226,3.2733641,3.6888795,4.1896548,3.6888795,0,0,62.5,62,63.600002,0,0,10.4,-1.6000004,108.15999,0,0,0,0,0,3,0,0,0,0,1,15,0,130,27.416666,1,17,1,27,0,0,0,19,130,15,42,4,30,,,,40,0,0,-15,-26,.015625,.64999998,.1,47.403454,25.809654,,,,,1.1733333,.20499995,-.0050000548,,,-.17333329,.20499995,-.0050000548,-1,1,1,47.403454,25.809654,4,1,1,.63600004,24.440001
15,2,2,0,0,48,25,49,0,52,12,52,25,26,22,cp,1,19,DRAMA,5,100,47,4,9,10,"Some people bid more than the ticket was worth, so I couldn't begin to explain that. I suppose they misunderstood the rules.",70,-1,-1,1,0,0,2,12,4,"I kept the credit amounts to whole- or half-dollar increments in most cases. I didn't want to bid more than five dollars, as that would be a large loss. My bid amount ($0.50-$4.50) was based on the probability of a successful lottery ticket.",$1.50 is a manageable loss and 25 credits aren't worth a big risk.,"It's the middle of the road choice. I have a guaranteed probability, and my minimum possible win (6) and maximum possible win (90) are both respectable.",I am utilizing the same reasoning I used above.,20,0,2,51,10,,1,18,18,21,21,24,,10,40,40,25,14,66,1,40,40,12,.06666667,5,.2,16,8.9644745e-09,20.799999,19.84,19.200001,-7.8400002,-7.2000008,-8.7999992,1.5999985,0,0,0,2,60,0,0,0,.2,0,0,.30000001,-1.2039728,0,0,0,0,0,0,,2.4849067,2.9549103,2.9877002,3.0349529,3.6888795,3.9512436,3.6888795,0,0,30.000002,48,49.599998,0,0,4.7999992,-1.5999985,23.039993,0,0,0,0,0,6,0,0,17,0,1,10,0,0,22,1,12,1,22,0,1,0,14,27,15,58,4,30,,,,40,0,0,-28,-12,.0075000003,.30000001,.1,39.351784,19.084436,,,,,.66333336,.056666672,-.21666664,,,.33666664,.056666672,-.21666664,1,1,1,39.351784,19.084436,4,1,1,.49599999,18.84
15,6,1,0,0,24,20,27,12,28,33,28,20,21,104,cp,1,25,CS,10,1,1,4,20,10,Its differs person to person. I looked at selected probabilty range,70,-1,-1,1,0,1,2,12,4,higher the probability higher will be by bid,very low selected probability,"higher the probability, higher the preference","higher the probability, higher the preference",42,26,2,25,10,,1,10,10,10,11,13,,13,0,40,33,14,66,1,40,40,-12,.06666667,5,.2,16,.0014590111,11.2,10.24,9.600584,22.76,23.399416,21.799999,1.5994158,1,0,0,0,60,0,0,0,.2,0,-33,.82499999,-.1923719,0,0,0,0,0,0,,3.4965076,2.2618239,2.3263016,2.4159138,3.6888795,3.3322046,3.6888795,0,0,82.5,24.001461,25.599998,0,0,-4.8000002,-1.5994158,23.040001,0,0,0,0,0,7,0,0,0,-33,1,13,0,54,24.25,1,14,3,24,100,0,0,1,54,11,26,3,20,,,,40,0,0,-7,12,.020624999,-.30000001,.1,23.090912,8.2747984,,,,,.28666666,-.033333331,.046666674,,,.71333337,-.033333331,.046666674,1,1,1,23.090912,8.2747984,4,1,1,.25599998,9.2399998
16,2,1,0,0,26,6,27,5,28,18,31,6,7,15,cp,1,24,Electrical Engineering,10,20,24,4,10,10,"Higher probability of non zero outcome, they bid large values and the reverse for lower probability values",70,-1,-1,0,0,1,2,12,4,"Greater the probability, better the chances of winning the value mentioned as the outcome so I bid high values","With lower probability, the value could end up to be zero so no use of bidding for negative payoff",Better chance of winning a significant value,Higher probability for lottery B will likely be my option,87,10,2,29,10,,1,58,58,60,65,62,,3,0,40,18,14,66,1,40,40,-9,.0625,6,.16666667,16,.00032554939,12.4,11.44,10.80013,6.5600004,7.1998701,5.6000004,1.5998697,1,0,0,0,60,0,0,0,.16666667,0,-18,.44999999,-.79850775,0,0,0,0,0,0,,2.8903718,2.3795581,2.4371159,2.5176964,3.6888795,3.4339871,3.6888795,0,0,45,27.000324,28.599998,0,0,-3.6000004,-1.5998697,12.960003,0,0,0,0,0,25,0,0,0,-18,1,3,0,0,22,1,12,1,22,0,1,0,18,47,10,73,1,20,,,,40,0,0,-22,9,.01125,-.22499999,.1,25.292355,9.5761528,,,,,1.4,.10666668,.53666663,,,-.39999998,.10666668,.53666663,-1,1,1,25.292355,9.5761528,4,1,1,.28599998,10.44
16,2,4,0,0,18,23,18,30,23,0,24,30,31,14,cp,1,21,economics,5,5,47,4,0,10,I honestly could not guess. People were bidding 100 when payoff was 60 max.,70,1,1,1,0,0,2,12,4,"I bid 0 for everything in the experiment after a certain point as it became clear that the others in the experiment weren't bidding according to EV. People were bidding in excess of the maximum payoff a lot of the time and losing credits in all situations, so it got to the point where I thought it was better to take the guaranteed payoff from the endowments and leave with ~$20.",It's close to the EV of the lower bound,Higher potential returns,Higher potential returns.,37,0,2,21,10,,3,0,0,0,0,0,,2,0,40,30,14,66,1,40,40,-16,.0625,6,.16666667,16,.010780715,9.6000004,8.6400003,8.0043125,-8.6400003,-8.0043125,-9.6000004,1.5956879,0,0,0,3,60,0,0,0,.16666667,0,0,0,,0,0,0,0,0,0,,-4.6051702,2.0799804,2.1564026,2.2617631,3.6888795,3.1780539,3.6888795,0,0,0,20.01078,21.6,0,0,-6.3999996,-1.5956879,40.959995,0,0,0,0,0,0,0,0,0,0,1,2,0,52,24.166666,1,14,2,24,0,0,0,18,52,22,44,5,30,,,,40,0,0,-40,16,0,-.40000001,.1,20.088943,6.5632148,,,,,1.0033333,.37333333,.935,,,-.0033333302,.37333333,.935,-1,1,1,20.088943,6.5632148,4,1,1,.21600001,7.6400003
16,6,4,0,10,26,20,27,22,27,12,30,22,23,106,cp,1,20,film/tv,10,100,47,4,9,10,"I think they either followed my rule about proportions, or guessed randomly.",70,-1,-1,0,0,0,2,12,4,"I try to bid somewhat proportionally to what the signal is to the potential payoff. If it's a high signal I probably need to bid high to win the auction, but not too high in case it's a 0 result. Also, if it's a low signal I want to bid low to lose the auction because it will probably end in 0, and if I win, and it's a 75, I get  HUGE payout.","It's low enough to where you would probably lose the auction- which is ok because it's probably going to result in a 0 anyway. If you happen to win the auction- if it's a 0, then you only lose 9. If you win, then you get about 16 credits.",I like the opportunity to potentially earn more than 75.,I like the opportunity to potentially earn more than 75.,25,0,2,27,10,,4,40,45,50,55,60,,15,40,40,22,14,66,1,40,40,-10,.0625,6,.16666667,16,.00053674023,12,11.04,10.400215,.96000004,1.5997849,0,1.5997849,0,0,0,1,60,0,0,0,.16666667,0,0,.30000001,-1.2039728,0,0,0,0,0,0,,2.4849067,2.3418264,2.401525,2.4849067,3.6888795,3.4011974,3.6888795,0,0,30.000002,26.000538,27.6,0,0,-4,-1.5997849,16,0,0,0,0,0,13,0,0,0,0,1,15,0,122,27.083334,1,17,1,27,0,0,0,24,122,15,51,4,30,,,,40,0,0,-28,10,.0075000003,-.25,.1,24.563747,9.1407604,,,,,1.1700001,.13166666,.091666698,,,-.17000008,.13166666,.091666698,-1,1,1,24.563747,9.1407604,4,1,1,.27599999,10.04
17,2,1,0,0,21,0,23,5,24,28,26,5,6,18,cp,1,25,IE,10,100,24,4,34,10,random number were thrown by others,70,1,1,1,0,1,2,12,4,choosing lower limit is a safer option,the highest bidder wins,higher payoff,higher payoff,97,24,2,22,10,,2,62,66,75,73,80,,6,0,40,28,14,66,1,40,40,-14,.05882353,7,.14285715,16,.0039660037,10.4,9.4399996,8.8015862,18.560001,19.198414,17.6,1.5984135,1,0,0,0,60,0,0,0,.14285715,0,-28,.69999999,-.35667497,0,0,0,0,0,0,,3.3322046,2.174932,2.244956,2.3418057,3.6888795,3.2580965,3.6888795,0,0,70,22.003965,23.599998,0,0,-5.6000004,-1.5984135,31.360004,0,0,0,0,0,11,1,-30,-30,-28,1,6,0,62,24.583334,1,15,2,25,0,0,0,11,62,17,6,2,20,,,,40,2,1,-12,14,.0175,-.34999999,.1,21.598284,7.4154444,,,,,.25,.0016666688,-.07,,,.75,.0016666688,-.07,1,1,1,21.598284,7.4154444,4,1,1,.23599999,8.4399996
19,2,2,0,31,46,25,47,36,51,0,53,36,37,14,cp,1,21,economics,5,5,47,4,0,10,I honestly could not guess. People were bidding 100 when payoff was 60 max.,70,1,1,1,0,0,2,12,4,"I bid 0 for everything in the experiment after a certain point as it became clear that the others in the experiment weren't bidding according to EV. People were bidding in excess of the maximum payoff a lot of the time and losing credits in all situations, so it got to the point where I thought it was better to take the guaranteed payoff from the endowments and leave with ~$20.",It's close to the EV of the lower bound,Higher potential returns,Higher potential returns.,2,0,2,50,10,,3,0,0,0,0,0,,2,40,40,36,14,66,1,40,40,13,.052631579,9,.11111111,16,5.4372284e-09,21.200001,20.24,19.6,-20.24,-19.6,-21.200001,1.6000004,0,0,0,3,60,0,0,0,.11111111,0,0,0,,0,0,0,0,0,0,,-4.6051702,2.9755297,3.0076609,3.0540013,3.6888795,3.9702919,3.6888795,0,0,0,49,50.599998,0,0,5.2000008,-1.6000004,27.040009,0,0,0,0,0,0,0,0,0,0,1,2,0,52,24.166666,1,14,2,24,0,0,0,18,52,22,44,5,30,,,,40,0,0,-40,-13,0,.32499999,.1,39.961964,19.554562,,,,,1.0033333,.37333333,.935,,,-.0033333302,.37333333,.935,-1,1,1,39.961964,19.554562,4,1,1,.50599998,19.24
19,2,3,0,10,18,6,18,0,22,0,24,10,11,23,cp,1,24,Mathematics,10,5,47,4,0,10,"If they are smart, they would forget emotions and decide based on probability and game theory.",70,0,0,1,0,0,2,12,4,Calculated the expected returns with different probabilities :),Because PROBABILITY!!!!!,I can only choose based on the number of rounds!,same as above,87,0,2,20,10,,3,0,0,0,70,70,,11,0,40,10,14,66,1,40,40,-16,.052631579,9,.11111111,16,.010780715,9.6000004,8.6400003,8.0043125,-8.6400003,-8.0043125,-9.6000004,1.5956879,0,0,0,2,60,0,0,0,.11111111,0,0,0,,0,0,0,0,0,0,,-4.6051702,2.0799804,2.1564026,2.2617631,3.6888795,3.1780539,3.6888795,0,0,0,20.01078,21.6,0,0,-6.3999996,-1.5956879,40.959995,0,0,0,0,0,0,0,0,0,0,1,11,0,0,22,1,12,2,22,0,1,0,6,39,19,22,2,20,,,,40,0,0,-40,16,0,-.40000001,.1,20.088943,6.5632148,,,,,1.8666667,.37666667,.49833339,,,-.86666667,.37666667,.49833339,-1,1,1,20.088943,6.5632148,4,1,1,.21600001,7.6400003
21,2,4,0,0,17,25,20,0,20,0,22,25,26,21,cp,0,21,psychology,50,5,47,4,0,10,I have no idea because some people bid 100 for which the prize was 60. They were bidding more than the price thereby ensuring they were losing money. Either that or I didn't understand the experiment at all,70,-1,-1,1,0,0,3,12,4,It's all or nothing. I'd risk losing 40 but only if the probability is high enough. I wouldn't bet any more than that because less than 20 is not enough to take a risk on,"If it's less than 50%, it's not worth it",75% probability that there's some monetary gain is the better option in my opinion.,Same reason as above. It is safer,42,0,4,18,10,,2,0,40,40,40,40,,9,0,60,25,14,66,1,60,40,-18,.047619049,1,1,24,.029305022,13.2,11.76,10.817583,-11.76,-10.817583,-13.2,2.3824167,0,1,0,2,60,0,0,1,1,-18,0,0,,0,0,0,0,0,0,,-4.6051702,2.3811729,2.464704,2.5802169,4.0943446,3.0910425,3.6888795,0,0,0,18.029305,19.6,0,0,-10.8,-2.3824167,116.64001,0,0,0,0,0,3,0,0,0,0,1,9,0,0,22,1,12,1,22,0,1,0,9,3,15,29,4,30,,,,60,0,0,-60,38,0,-.44999999,.1,20.227097,8.3341236,,,,,.86500001,.078333288,.029999971,,,.13499999,.078333288,.029999971,1,1,1,20.227097,8.3341236,4,1,1,.19600001,10.76
22,2,2,0,12,56,40,57,54,57,30,63,54,55,21,cp,0,21,psychology,50,5,47,4,0,10,I have no idea because some people bid 100 for which the prize was 60. They were bidding more than the price thereby ensuring they were losing money. Either that or I didn't understand the experiment at all,70,-1,-1,1,0,0,3,12,4,It's all or nothing. I'd risk losing 40 but only if the probability is high enough. I wouldn't bet any more than that because less than 20 is not enough to take a risk on,"If it's less than 50%, it's not worth it",75% probability that there's some monetary gain is the better option in my opinion.,Same reason as above. It is safer,26,0,4,59,10,,1,0,40,40,40,40,,9,60,60,54,14,66,1,60,40,23,.045454547,2,.5,24,3.6635757e-11,37.799999,36.360001,35.400002,-6.3600006,-5.4000015,-7.7999992,2.3999977,0,1,0,2,60,0,0,1,.5,23,0,.5,-.69314718,0,0,0,0,0,0,,3.4011974,3.5667119,3.5934694,3.6323092,4.0943446,4.1431346,3.6888795,0,0,50,59.000004,60.600002,0,0,13.799999,-2.3999977,190.43997,0,0,0,0,0,3,0,0,0,0,1,9,0,0,22,1,12,1,22,0,1,0,9,3,15,29,4,30,,,,60,0,0,-30,-3,.0125,.57499999,.1,60.606236,36.389854,,,,,.86500001,.078333288,.029999971,,,.13499999,.078333288,.029999971,1,1,1,60.606236,36.389854,4,1,1,.60600001,35.360001
22,6,2,0,56,80,55,80,50,82,49,84,56,57,99,cp,1,20,economics,10,5,2,4,8,30,I thought some people who did this experiment were really dumb as they would constantly pick higher than the value just because the probability wa reasonably high which is super irrational,90,0,1,0,0,0,3,12,4,estimate of signal multiplied by the pay off.,in expectation you will make around 7.5 so you bid a bit higher than that to win the bid.,-,-,21,0,1,84,10,,3,48,49,56,46,58,,8,60,60,56,34,86,1,60,60,24,.045454547,2,.5,36,2.2220710e-11,50.400002,48.959999,48,.040000916,1,-1.4000015,2.4000015,0,1,1,1,60,0,1,1,.5,24,0,.81666666,-.20252427,0,0,0,0,0,0,,3.8918202,3.871201,3.8910036,3.9199913,4.0943446,4.4308167,4.0943446,1,0,81.666664,80,81.599998,0,0,14.400002,-2.4000015,207.36005,0,0,0,0,0,10,0,0,0,0,1,8,0,27,23.125,1,13,1,23,0,0,0,16,27,15,73,4,30,,,,60,0,0,-11,-24,.013611111,.40000001,.06666667,77.966728,47.236652,,,,,.56166667,.47166666,.49833333,,,.43833333,.47166666,.49833333,1,1,1,77.966728,47.236652,4,1,1,.81599998,47.959999
23,2,1,0,55,45,54,45,10,50,45,51,55,56,20,cp,1,22,Management of Technology,10,100,47,4,10,10,"bid the highest, even if it was higher than the lottery outcome",70,-1,-1,1,0,0,3,12,4,I gain the most if i win and lose the least if i lose,Because if i lose the lottery then i get less negative credits and if i win i get maximum positive credits,0-75% probability is way better than a range between 60 and 90,0-75% probability is way better than a range between 60 and 90,29,10,4,49,10,,4,25,24,25,35,19,,8,60,60,55,14,66,1,60,40,11,.043478262,3,.33333334,24,1.4779920e-08,30.6,29.16,28.200001,15.84,16.799999,14.4,2.3999996,0,1,0,1,60,0,0,1,.33333334,11,0,.75,-.28768209,0,0,0,0,0,0,,3.8066626,3.3393221,3.372798,3.421,4.0943446,3.9318256,3.6888795,0,0,75,47,48.599998,0,0,6.6000004,-2.3999996,43.560005,0,0,0,0,0,21,0,0,0,0,1,8,0,150,28.25,1,18,3,28,150,1,0,9,79,23,14,6,30,,,,60,1,1,-15,9,.018750001,.27500001,.1,50.885174,27.558661,,,,,1.5966667,.063333392,.10166669,,,-.59666669,.063333392,.10166669,-1,1,1,50.885174,27.558661,4,1,1,.486,28.16
24,2,2,0,6,47,10,48,40,49,30,49,30,31,27,cp,1,22,Computer Science,5,80,30,4,0,10,"In my group, somehow the bid was most of the times higher than the lottery outcome. They might have won the lottery but they lost points. I think the range of bidding was not explained clearly",70,-1,-1,0,0,0,3,12,4,"It doesn't make sense to place any bid when the probability values are low. Till and until the probability is really high, I have put 0's because the maximum that you can earn (if you are lucky) then 8 credits which corresponds to nearly $1 and 0.75 of $1 is 75 cents. So basically maximum you can earn is 75cents but if you bid high like 44 and lose, here you are losing a lot. I'd rather have 0 earnings than negative earnings",The same answer as the previous one. Here the False Positives come with a big penalty,"I would just like to earn something. In Lottery A you get 75 and in B minimum is 60, so I might be losing out on 0.75*(75-60) but atleast B is less risky",Same as previous,81,0,4,47,10,,4,0,0,0,0,68,,15,0,60,40,14,66,1,60,40,9,.041666668,4,.25,24,4.0175987e-08,29.4,27.959999,27,2.0400009,3,.60000038,2.3999996,0,1,0,1,60,0,0,1,.25,9,0,.5,-.69314718,0,0,0,0,0,0,,3.4011974,3.2958369,3.3307748,3.3809946,4.0943446,3.8918202,3.6888795,0,0,50,45,46.599998,0,0,5.3999996,-2.3999996,29.159996,0,0,0,0,0,3,0,0,0,0,1,15,0,130,27.416666,1,17,1,27,0,0,0,19,130,15,42,4,30,,,,60,0,0,-30,11,.0125,.22499999,.1,49.095089,26.136463,,,,,1.1733333,.20499995,-.0050000548,,,-.17333329,.20499995,-.0050000548,-1,1,1,49.095089,26.136463,4,1,1,.46599999,26.959999
24,2,4,0,35,45,51,46,0,46,42,52,51,52,20,cp,1,22,Management of Technology,10,100,47,4,10,10,"bid the highest, even if it was higher than the lottery outcome",70,-1,-1,1,0,0,3,12,4,I gain the most if i win and lose the least if i lose,Because if i lose the lottery then i get less negative credits and if i win i get maximum positive credits,0-75% probability is way better than a range between 60 and 90,0-75% probability is way better than a range between 60 and 90,12,10,4,48,10,,2,25,24,25,35,19,,8,60,60,51,14,66,1,60,40,12,.041666668,4,.25,24,8.9644745e-09,31.200001,29.76,28.799999,12.24,13.200001,10.799999,2.4000015,0,1,0,1,60,0,0,1,.25,12,0,.69999999,-.35667497,0,0,0,0,0,0,,3.7376697,3.3603754,3.3931651,3.440418,4.0943446,3.9512436,3.6888795,0,0,70,48,49.599998,0,0,7.2000008,-2.4000015,51.840012,0,0,0,0,0,21,0,0,0,0,1,8,0,150,28.25,1,18,3,28,150,1,0,9,79,23,14,6,30,,,,60,1,1,-18,8,.0175,.30000001,.1,51.762009,28.27508,,,,,1.5966667,.063333392,.10166669,,,-.59666669,.063333392,.10166669,-1,1,1,51.762009,28.27508,4,1,1,.49599999,28.76
25,2,2,0,18,61,0,61,25,62,30,62,30,31,21,cp,0,21,psychology,50,5,47,4,0,10,I have no idea because some people bid 100 for which the prize was 60. They were bidding more than the price thereby ensuring they were losing money. Either that or I didn't understand the experiment at all,70,-1,-1,1,0,1,3,12,4,It's all or nothing. I'd risk losing 40 but only if the probability is high enough. I wouldn't bet any more than that because less than 20 is not enough to take a risk on,"If it's less than 50%, it's not worth it",75% probability that there's some monetary gain is the better option in my opinion.,Same reason as above. It is safer,81,0,4,61,10,,3,0,40,40,40,40,,9,0,60,30,14,66,1,60,40,22,.039999999,5,.2,24,6.0402155e-11,37.200001,35.759998,34.799999,-5.7599983,-4.7999992,-7.2000008,2.4000015,1,1,0,2,60,0,0,1,.2,22,-30,.5,-.69314718,0,0,0,0,0,0,,3.4011974,3.5496173,3.5768299,3.6163087,4.0943446,4.1271343,3.6888795,0,0,50,58,59.599998,0,0,13.200001,-2.4000015,174.24002,0,0,0,0,0,3,0,0,0,-30,1,9,0,0,22,1,12,1,22,0,1,0,9,3,15,29,4,30,,,,60,0,0,-30,-2,.0125,.55000001,.1,59.862888,35.634411,,,,,.86500001,.078333288,.029999971,,,.13499999,.078333288,.029999971,1,1,1,59.862888,35.634411,4,1,1,.59599996,34.759998
26,2,2,0,6,42,40,45,12,46,0,48,40,41,14,cp,1,21,economics,5,5,47,4,0,10,I honestly could not guess. People were bidding 100 when payoff was 60 max.,70,1,1,1,0,0,3,12,4,"I bid 0 for everything in the experiment after a certain point as it became clear that the others in the experiment weren't bidding according to EV. People were bidding in excess of the maximum payoff a lot of the time and losing credits in all situations, so it got to the point where I thought it was better to take the guaranteed payoff from the endowments and leave with ~$20.",It's close to the EV of the lower bound,Higher potential returns,Higher potential returns.,62,0,4,44,10,,4,0,0,0,0,0,,2,0,60,40,14,66,1,60,40,8,.03846154,6,.16666667,24,6.6239004e-08,28.799999,27.360001,26.4,-27.360001,-26.4,-28.799999,2.3999996,0,1,0,3,60,0,0,1,.16666667,8,0,0,,0,0,0,0,0,0,,-4.6051702,3.2733641,3.309082,3.3603754,4.0943446,3.871201,3.6888795,0,0,0,44,45.600002,0,0,4.7999992,-2.3999996,23.039993,0,0,0,0,0,0,0,0,0,0,1,2,0,52,24.166666,1,14,2,24,0,0,0,18,52,22,44,5,30,,,,60,0,0,-60,12,0,.2,.1,48.181839,25.430685,,,,,1.0033333,.37333333,.935,,,-.0033333302,.37333333,.935,-1,1,1,48.181839,25.430685,4,1,1,.456,26.360001
